Country,Date,Confirmed,Recovered,Deaths,Classification,Total_Population,Population Density_in_km2,Healthcare_System_Rank,Coastal,Median_age
Afghanistan,3/28/2020,110,2,4,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/18/2020,22,1,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,1/28/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,4/7/2020,423,18,14,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,1/30/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/4/2020,1,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/30/2020,170,2,4,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/16/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/27/2020,110,2,4,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/19/2020,22,1,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/29/2020,1,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/13/2020,7,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/26/2020,94,2,4,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/23/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/9/2020,4,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/2/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/20/2020,24,1,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/18/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,1/24/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/24/2020,1,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/11/2020,7,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/1/2020,1,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,4/3/2020,281,10,6,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/3/2020,1,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/17/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/29/2020,120,2,4,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/31/2020,174,5,4,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/10/2020,5,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/14/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/25/2020,1,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/5/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/15/2020,16,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/27/2020,1,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/16/2020,21,1,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/7/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,1/25/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/21/2020,24,1,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/2/2020,1,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,4/2/2020,273,10,6,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/9/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,4/6/2020,367,18,11,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/3/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/24/2020,74,1,1,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/13/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/8/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,2/11/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/22/2020,40,1,1,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,1/29/2020,0,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,4/1/2020,237,5,4,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/8/2020,4,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/12/2020,7,0,0,Underdeveloped,38928346,60,173,N,18.4
Afghanistan,3/23/2020,40,1,1,Underdeveloped,38928346,60,173,N,18.4
